;Priezvisko;Meno;Email;Stredná škola;Stredná škola (adresa);Bydlisko - ulica;PSČ;Bydlisko - obec
30;Haňušková;Blanka;email30@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Parková 1;90042;Alžbetin Dvor
31;Harvánek;Ervín;email31@gmail.com;Stredná priemyselná škola strojnícka;Bratislava-Staré Mesto, Fajnorovo nábrežie 5, 81475;Stromová 1;90101;Malacky
32;Hlaváčiková;Petronela;email32@gmail.com;Stredná odborná škola sv. Jozefa Robotníka;Žilina, Saleziánska 18, 01001;Družstevná 1;1004;Bánová
33;Hoza;Mário;email33@gmail.com;Gymnázium;Snina, Študentská 4, 06901;Parková 1;6761;Stakčín
34;Husťák;Miroslav;email34@gmail.com;Gymnázium;Myjava, Jablonská 5, 90701;SNP 1;91601;Stará Turá
35;Janček;Félix;email35@gmail.com;Spojená škola-Stredná priemyselná škola elektrotechnická S. A. Jedlika;Nové Zámky, Komárňanská 28, 94075;Zemné 1;94122;Zemné
36;Jantošovič;Karol;email36@gmail.com;Spojená škola-Gymnázium Jura Hronca;Bratislava-Ružinov, Novohradská 3, 82109;Suché Miesto 1;90025;Chorvátsky Grob
37;Junás;Oldrich;email37@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Farská 1;1861;Beluša
38;Kolár;Teodor;email38@gmail.com;Stredná priemyselná škola elektrotechnická;Prešov, Plzenská 1, 08047;Šarišské Jastrabie 1;6548;Šarišské Jastrabie
39;Kolník;Teodor;email39@gmail.com;Spojená škola-Gymnázium Jura Hronca;Bratislava-Ružinov, Novohradská 3, 82109;Štefana Králika 1;84108;Bratislava
40;Krajčová;Silvia;email40@gmail.com;Stredná odborná škola elektrotechnická;Poprad, Hlavná 1400/1, 05951;Vlkovce 1;5971;Vlkovce
41;Kubecová;Drahoslava;email41@gmail.com;Gymnázium Matky Alexie;Bratislava-Staré Mesto, Jesenského 4/A, 81102;A.Dubčeka 1;90301;Senec
42;Martinek;Martin;email42@gmail.com;Súkromná stredná odborná škola podnikania;Senica, Hollého 1380, 90501;J.Mudrocha 1;90501;Sotina
43;Maslo;Svätopluk;email43@gmail.com;Gymnázium Ľudovíta Štúra;Zvolen, Hronská 1467/3, 96049;Centrum 1;96001;Zvolen
44;Melicher;Beňadik;email44@gmail.com;Gymnázium Hansa Selyeho s vyučovacím jazykom maďarským;Komárno, Biskupa Királya 5, 94501;Veľké Ludince 1;93565;Veľké Ludince
45;Michalko;Peter;email45@gmail.com;Elektrotechnicka a stavebna škola 'Nikola Tesla';Narodnog Fronta 1, 23000 Zrenjanin;Ive Lole Ribara 1;26215;Padina
46;Mrazko;Bystrík;email46@gmail.com;Spojená škola sv. Františka z Assisi-Gymnázium sv. Františka z Assisi;Bratislava-Karlova Ves, Karloveská 32, 84104;Ľudovíta Fullu 1;84105;Bratislava
47;Novák;Zdenko;email47@gmail.com;Stredná odborná škola technická;Šurany, Nitrianska 61, 94201;Lipová 1;94110;Tvrdošovce
48;Palo;Roman;email48@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Kostolná pri Dunaji 1;90301;Kostolná pri Dunaji
49;Paľov;Róbert;email49@gmail.com;Stredná priemyselná škola elektrotechnická;Bratislava-Petržalka, Hálova 16, 85101;Kadnárova 1;83151;Bratislava - Rača
50;Paulik;Viliam;email50@gmail.com;Stredná priemyselná škola;Dubnica nad Váhom, Obrancov mieru 343/1, 01841;Dolná Súča 1;91332;Dolná Súča
51;Pavliček;Severín;email51@gmail.com;Stredná odborná škola informačných technológií;Bratislava-Rača, Hlinícka 1, 83152;Sokolská 1;90872;Závod
52;Pavúk;Belo;email52@gmail.com;Gymnázium Ivana Horvátha;Bratislava-Ružinov, Ivana Horvátha 14, 82103;Lotyšská 1;82106;Bratislava - Podunajské Biskupice
53;Petruška;Marek;email53@gmail.com;Stredná priemyselná škola;Bardejov, Komenského 5, 08542;Vaniškovce 1;8641;Vaniškovce
54;Šimko;Viktor;email54@gmail.com;Spojená škola-Športové gymnázium;Nitra, Slančíkovej 2, 95050;Narcisová 1;94901;Nitra
55;Škantár;Blažej;email55@gmail.com;Stredná odborná škola technická;Michalovce, Partizánska 1, 07192;Jovsa 1;7232;Jovsa
56;Višňovský;Dobroslav;email56@gmail.com;Spojená škola-Športové gymnázium;Nitra, Slančíkovej 2, 95050;Chmeľová dolina 1;94901;Zobor
